Random Values=100Normal Distribution Parameters
s=200,l=50000,u=1000000
	Array	Vector
0 64797

t0	 24692	 2579310
t1	 29658	 2858617
t2	 23014	 2853791
t3	 26860	 2623658
t4	 32317	 2687522
t5	 31967	 2596308
t6	 28959	 2625057
t7	 23643	 3229349
t8	 25951	 2578330
t9	 31407	 2798462
t10	 23993	 2466622
t11	 33505	 2597147
t12	 26861	 2383871
t13	 34695	 2446686
t14	 27351	 2388069
t15	 31407	 2292588
t16	 32316	 2479982
t17	 32946	 2450114
t18	 27700	 2419545
t19	 32736	 2413740
t20	 29589	 2421225
t21	 25951	 2489915
t22	 27840	 2469839
t23	 31267	 2387928
t24	 43579	 2740613
t25	 30638	 3139324
t26	 26650	 2964870
t27	 33926	 2846586
t28	 24343	 3119109
t29	 27561	 3033770
t30	 28889	 3233545
t31	 25951	 2609178
t32	 47006	 3228440
t33	 32177	 2617292
t34	 32037	 2505934
t35	 31757	 3063499
t36	 28329	 2855399
t37	 37073	 3073674
t38	 24896	 3240917
t39	 23850	 3072557
t40	 25668	 2359759
t41	 36929	 2642772
t42	 30144	 2577576
t43	 32732	 2347047
t44	 34831	 2331248
t45	 36299	 2556384
t46	 31124	 2363068
t47	 34131	 2404683
t48	 32872	 2432868
t49	 27697	 2358101
t50	 31333	 2597647
t51	 28046	 2538128
t52	 42734	 2393492
t53	 40285	 2560299
t54	 32732	 2635484
t55	 26368	 2363067
t56	 31683	 2557781
t57	 31683	 2573448
t58	 28606	 2365516
t59	 33151	 2510362
t60	 33082	 2831457
t61	 33851	 3030856
t62	 28536	 2852649
t63	 30914	 2777533
t64	 22241	 2814321
t65	 25598	 2799635
t66	 25108	 2720462
t67	 32103	 3358246
t68	 29025	 2799634
t69	 29585	 2977352
t70	 24619	 2989941
t71	 24479	 2817259
t72	 25878	 2525889
t73	 30844	 2428742
t74	 28326	 2600654
t75	 30005	 2632966
t76	 29865	 2583379
t77	 26367	 2651222
t78	 33082	 2946229
t79	 29375	 2689199
t80	 32872	 3259141
t81	 29795	 2461263
t82	 33081	 2496444
t83	 30285	 2913007
t84	 30704	 2909021
t85	 28256	 2556732
t86	 27417	 2417551
t87	 32871	 2440492
t88	 32382	 2563376
t89	 25459	 2369082
t90	 32802	 2741094
t91	 27556	 2451473
t92	 28745	 2507285
t93	 27557	 2462872
t94	 33641	 2571209
t95	 28885	 2374468
t96	 33502	 2572119
t97	 33291	 2703396
t98	 39306	 2913287
t99	 24479	 2443919
1 29283

t0	 5735	 936568
t1	 4266	 671775
t2	 3637	 991751
t3	 3427	 793401
t4	 3288	 969021
t5	 4756	 790394
t6	 4057	 955173
t7	 3777	 667229
t8	 3218	 674083
t9	 3427	 672055
t10	 3497	 890478
t11	 4336	 839772
t12	 2937	 690869
t13	 3078	 781441
t14	 3287	 876560
t15	 4197	 1014552
t16	 4336	 934401
t17	 3777	 855997
t18	 4127	 903487
t19	 4057	 888449
t20	 4337	 912649
t21	 4126	 829840
t22	 4196	 816901
t23	 4336	 862572
t24	 4197	 818930
t25	 4546	 871944
t26	 5456	 685413
t27	 4406	 708773
t28	 3567	 761368
t29	 4197	 780811
t30	 3078	 813054
t31	 4127	 791442
t32	 3847	 979721
t33	 4267	 746331
t34	 3987	 780252
t35	 3427	 934959
t36	 4407	 1000424
t37	 4266	 816831
t38	 3776	 798927
t39	 4126	 848025
t40	 3427	 792631
t41	 3217	 840121
t42	 2937	 800955
t43	 3637	 825853
t44	 4126	 927686
t45	 4126	 788296
t46	 5315	 909292
t47	 3917	 831379
t48	 4406	 678209
t49	 3217	 734092
t50	 4546	 1020077
t51	 4267	 755914
t52	 53854	 753465
t53	 2727	 664781
t54	 3007	 686252
t55	 3917	 870196
t56	 101623	 688981
t57	 3847	 670586
t58	 3077	 688770
t59	 3567	 667858
t60	 3986	 852500
t61	 3497	 665831
t62	 3427	 749969
t63	 3916	 668908
t64	 3777	 694506
t65	 3497	 847955
t66	 2797	 688631
t67	 3078	 674224
t68	 2938	 691498
t69	 3288	 699052
t70	 3846	 792562
t71	 3987	 703737
t72	 4126	 687652
t73	 3008	 676951
t74	 3217	 692197
t75	 3916	 970000
t76	 4056	 1047773
t77	 5036	 988883
t78	 4826	 1003851
t79	 4826	 961048
t80	 4476	 683665
t81	 4196	 669747
t82	 4546	 693596
t83	 4197	 677021
t84	 3847	 789274
t85	 3777	 675202
t86	 3987	 776545
t87	 4406	 673244
t88	 2937	 710942
t89	 3567	 726118
t90	 3008	 686393
t91	 3567	 685134
t92	 4057	 734092
t93	 2868	 681077
t94	 2938	 805431
t95	 3916	 678699
t96	 2798	 704996
t97	 2868	 688771
t98	 3357	 753046
t99	 4686	 776896
2 18653

t0	 4756	 358793
t1	 2518	 371382
t2	 2308	 461115
t3	 2308	 459087
t4	 2308	 456849
t5	 2798	 454681
t6	 2518	 467760
t7	 2517	 522243
t8	 3567	 517137
t9	 2728	 448106
t10	 2588	 465802
t11	 2728	 586028
t12	 4127	 489162
t13	 2588	 450065
t14	 2448	 457758
t15	 2518	 454750
t16	 2587	 465242
t17	 3008	 461326
t18	 2727	 460276
t19	 2448	 533014
t20	 4056	 475662
t21	 2517	 467620
t22	 2727	 529937
t23	 3357	 446218
t24	 2658	 488462
t25	 3987	 454820
t26	 2658	 486783
t27	 3288	 499233
t28	 2798	 464053
t29	 2378	 482937
t30	 4686	 562948
t31	 3637	 488672
t32	 2797	 470068
t33	 2727	 442232
t34	 2308	 464193
t35	 2378	 452863
t36	 2378	 475663
t37	 3008	 597849
t38	 3707	 517417
t39	 2867	 454821
t40	 2308	 510144
t41	 2448	 451883
t42	 2378	 465802
t43	 2448	 443770
t44	 2378	 471607
t45	 2867	 561549
t46	 2378	 502240
t47	 3007	 491539
t48	 2448	 510143
t49	 2378	 493497
t50	 2518	 457059
t51	 2238	 475662
t52	 2868	 575957
t53	 3357	 474474
t54	 2728	 472166
t55	 2588	 442722
t56	 2937	 465942
t57	 2588	 541546
t58	 2728	 502730
t59	 3147	 583091
t60	 4406	 512522
t61	 3217	 487972
t62	 2657	 462794
t63	 2378	 457478
t64	 2378	 480279
t65	 2448	 466501
t66	 2937	 471956
t67	 2727	 565816
t68	 2448	 473495
t69	 3078	 498813
t70	 2728	 494337
t71	 4616	 488392
t72	 2937	 503009
t73	 3077	 456569
t74	 2867	 568473
t75	 2588	 450415
t76	 2308	 526020
t77	 2728	 447826
t78	 3077	 462514
t79	 3427	 447197
t80	 3497	 504549
t81	 3078	 492519
t82	 2588	 620649
t83	 2518	 522103
t84	 3287	 460137
t85	 2518	 496995
t86	 2518	 497064
t87	 3357	 508885
t88	 3357	 467200
t89	 2587	 547771
t90	 2588	 466850
t91	 3008	 450975
t92	 2797	 471887
t93	 2938	 452933
t94	 2308	 462864
t95	 2657	 588337
t96	 3078	 585958
t97	 4056	 450624
t98	 2518	 455660
t99	 2588	 453142
3 88155

t0	 26368	 3083801
t1	 29305	 2736338
t2	 32872	 2934828
t3	 52176	 2960777
t4	 29865	 3062958
t5	 28955	 3022884
t6	 30144	 2605480
t7	 34970	 2767391
t8	 29934	 2853279
t9	 25389	 2669755
t10	 34690	 3023652
t11	 36089	 3074569
t12	 32033	 2848872
t13	 27836	 2850970
t14	 27137	 2750816
t15	 33990	 2744172
t16	 32592	 2861881
t17	 24549	 2756552
t18	 42314	 2937976
t19	 26717	 3079814
t20	 27207	 3022464
t21	 27417	 2865868
t22	 31473	 2825232
t23	 48958	 3050230
t24	 33152	 2847333
t25	 28745	 2738856
t26	 33921	 3172135
t27	 28046	 2939654
t28	 26438	 2986444
t29	 29165	 3078416
t30	 37069	 2878527
t31	 29725	 3017987
t32	 29934	 3013582
t33	 26088	 3192558
t34	 33572	 3837056
t35	 28256	 2826911
t36	 31543	 2894543
t37	 44272	 2852789
t38	 38188	 2734660
t39	 27066	 2684303
t40	 32872	 2899579
t41	 26088	 2715986
t42	 37768	 2864539
t43	 28746	 2947698
t44	 32312	 2856496
t45	 33921	 2742073
t46	 30354	 2752145
t47	 34760	 2856426
t48	 40915	 2847963
t49	 34201	 2840480
t50	 27347	 3441964
t51	 44203	 4673121
t52	 30703	 4101500
t53	 32383	 4216691
t54	 31123	 4462532
t55	 37558	 4068628
t56	 36159	 4234107
t57	 46371	 13590210
t58	 36788	 4060305
t59	 30494	 3969873
t60	 37068	 3928189
t61	 71829	 3995540
t62	 45881	 3992114
t63	 35739	 4171021
t64	 40215	 3989456
t65	 46790	 4003864
t66	 29584	 3968963
t67	 45671	 3986588
t68	 34131	 3903010
t69	 36788	 4036316
t70	 31333	 4069048
t71	 31893	 4048206
t72	 32592	 4119754
t73	 43013	 3971691
t74	 38117	 4019180
t75	 38817	 4059816
t76	 38607	 4113460
t77	 35880	 4247256
t78	 42104	 4109683
t79	 40565	 4028902
t80	 32522	 4118495
t81	 33081	 3981972
t82	 30634	 4108634
t83	 34341	 4021279
t84	 37348	 3907487
t85	 32242	 3952038
t86	 37487	 4006242
t87	 35809	 3920774
t88	 33432	 3920914
t89	 32802	 3999248
t90	 34900	 3932804
t91	 33641	 4372028
t92	 38327	 3237390
t93	 35459	 2843486
t94	 26927	 3538622
t95	 49307	 2886290
t96	 34271	 3050650
t97	 27976	 3099537
t98	 38607	 3185214
t99	 28605	 2906363
4 68419

t0	 50916	 2785436
t1	 29445	 2799774
t2	 40426	 2620168
t3	 29165	 2555543
t4	 30704	 2860272
t5	 36299	 2502039
t6	 32452	 2935178
t7	 28326	 2749697
t8	 25598	 2701579
t9	 39936	 2708712
t10	 34830	 2604921
t11	 30984	 2733890
t12	 34550	 2698361
t13	 30564	 2414054
t14	 36369	 2648214
t15	 34690	 2704515
t16	 25318	 2963854
t17	 35529	 2942872
t18	 31473	 2920981
t19	 38257	 3179409
t20	 27836	 2806279
t21	 34060	 3177311
t22	 36369	 3088697
t23	 34761	 2944550
t24	 24409	 3004629
t25	 27206	 2550018
t26	 30354	 2569601
t27	 31823	 3230256
t28	 26508	 2663600
t29	 25948	 2394191
t30	 32103	 3003929
t31	 24758	 2513230
t32	 29305	 2475881
t33	 38048	 2744871
t34	 30704	 2579392
t35	 26017	 2509033
t36	 38747	 2793830
t37	 30984	 2773616
t38	 27906	 2696752
t39	 28676	 2474622
t40	 33152	 2453220
t41	 32732	 2858314
t42	 32382	 2999034
t43	 24759	 2765084
t44	 45251	 2957769
t45	 40145	 3026660
t46	 33222	 2509872
t47	 29095	 2693115
t48	 28326	 2709412
t49	 24759	 2626183
t50	 30914	 2727246
t51	 27067	 2650802
t52	 28186	 2504277
t53	 29864	 3466514
t54	 27207	 3269912
