Experimento 1
n-random	VectorInsertion[ns]	ArrayInsertion[ns]
50278	628103	201801
50505	614003	192801
50683	635303	201001
51313	668803	179801
52525	642204	145000
57144	724203	184801
58969	693903	195501
59153	748304	208701
59406	680704	239501
60262	746104	166401
60494	740904	199101
60746	706004	282101
60779	695403	253002
61098	679103	241501
61650	705803	229001
62828	733004	202701
64546	733203	216001
66446	977005	183701
67585	984605	289102
68849	992205	190101
69232	998405	214201
70978	1010205	219101
71321	1022505	197401
72313	1021406	205101
72434	1060906	200301
73832	1037405	238101
74820	1213006	250501
79484	1184506	346502
81583	1097106	225701
83889	1113906	232601
84187	1304007	368702
84895	1137106	250501
85041	1145006	276601
85425	1158006	278001
87836	1219407	273901
89526	1189806	248701
91361	1221107	299301
92144	1224407	254801
92573	1187806	280201
95091	1236806	275102
95877	1243606	315002
98124	1285006	438803
98639	1288006	331802
99140	1276407	334701
99235	1242506	302802
101125	1279907	281501
102376	1266506	317102
104609	1419608	496402
104751	1309407	340001
104797	1355307	288702
104973	1297206	289402
107078	1321207	295101
107239	1312207	361802
107715	1647508	388202
107724	1306006	318802
111062	1347907	371302
113824	1379007	355301
116194	1404608	359301
116223	1437407	326602
119049	1490407	368602
119270	1421507	328702
119967	1656309	360402
120848	1446907	373002
121418	1425207	384502
123883	1433008	414202
124150	1501608	343102
124437	1518008	375602
125749	1509307	363602
125944	1454707	422502
126919	1512807	379102
127473	1673709	566503
129961	1546708	398902
134140	2106011	506203
134395	1965610	375802
135156	1993010	409603
135181	2216512	620103
135728	2051111	606803
137525	1984511	425702
138445	2240412	381702
138475	1989110	381702
139018	2049411	382802
139829	2006910	593403
140182	2450213	579402
140440	2103210	523203
145463	2250211	401002
147425	2066111	405902
147466	2349012	440502
147830	2138511	433102
148052	2491313	623003
148721	2086910	427802
148960	2096311	448302
152322	2103710	420903
152698	2363712	675603
152903	2116011	486302
153756	2919515	636603
154576	2127211	692103
154598	2319112	442502
155085	2337712	657203
155986	2475112	663604
157451	2346811	481703
158583	2213611	502003
158943	2190112	456402
159350	2427112	680404
159471	2420212	681704
160290	2366612	709904
161089	2199012	574402
161152	2592513	719804
163218	2452312	481403
164061	2237012	689803
164708	2393912	493102
165191	2377712	696904
165808	2480412	696704
168482	2515312	726404
168818	2251912	510502
169430	2407313	729403
169543	2336712	543403
169609	2276612	724403
169612	2501312	750104
170906	2248511	495103
171139	2255612	756303
172139	2319511	628304
172413	2552813	475202
172590	2326512	475403
173598	2280112	504703
173787	2369812	771804
174037	2694413	802204
174718	2421712	514503
175738	2608513	847305
177636	2303912	554203
178681	2313412	789704
179168	2344012	529503
179296	2446313	758104
180576	2605513	788804
181158	2637114	808004
182158	2353812	542503
183453	2386512	536903
183775	2810614	862205
184859	2628914	790404
185450	2407312	576403
185696	2808414	554903
186008	2385612	822004
187612	2384712	582403
188415	2453813	790204
191498	2439912	858505
191812	2585713	806905
192155	2488712	863805
192534	2664314	643203
192768	2460812	562103
193363	2441713	848404
194172	2499413	572503
194514	2456612	881505
195246	2515613	573703
196684	2917815	860304
196754	2496813	582003
198471	2627614	921004
200861	2516712	618304
201234	2793414	883605
202923	4439523	765304
208575	2654914	906404
209159	2836114	905205
210185	2671414	916204
213898	2929314	930604
215753	2697513	946705
216040	2653913	945205
217251	3256817	985805
218481	2673314	945204
219172	2704514	897304
220266	2678513	956205
220275	4226522	964805
220450	3025815	682004
220598	2719113	963805
222095	2815415	651403
223650	2706914	687003
223939	2706014	681203
225108	2754214	886604
228284	3178216	1012305
230170	3066715	998805
231273	2914115	1009905
231577	3308816	1008006
232251	2866514	1033906
233711	2843414	1009505
234269	3094316	1023605
234547	3363617	1261406
237831	2900315	718903
239650	3081315	750504
242974	2896115	1050805
243034	2970315	1060206
243046	3027916	1060905
247240	2959015	719804
249983	3070916	1121006
250489	2954215	1084306
252627	3869820	806904
253241	2994115	1109606
253363	2974715	1151006
255031	2994515	924505
255079	2993615	752404
257212	3014715	1123606
259854	3377117	1194906
261127	3200417	1153606
261142	3045415	1178006
261175	3057416	769704
261898	3197316	1201306
264105	4269222	1147605
264149	4235321	1165406
265605	4535623	813204
266467	3865420	1189906
269882	4180821	1233407
270060	4821724	1147806
270757	3970120	1152006
271067	6033731	857804
271407	4343822	1155506
272458	5479728	1448107
273692	4322122	1172206
274905	4390322	868805
276583	4791925	985705
276746	4318322	826804
278014	5037926	845304
280007	4408722	1196706
280508	5706829	825204
280663	4411923	1224406
282049	4538023	1245507
282075	5036326	908104
283108	5136426	843404
283775	4488423	1203306
284129	4660224	851905
286585	4580423	1211106
288410	4519223	896805
288850	4223822	1244506
289094	4570523	1240406
289201	4841425	1291907
290013	4464123	863105
291020	4119621	1313506
291406	4235422	1330807
291986	4839425	1288706
295180	5183327	878004
295443	4218721	889505
295637	4573623	1297007
296054	4165622	879604
297568	4350622	2540613
299153	4199322	1303106
300000	4978725	1343607
300758	6650334	944405
301544	5377727	908405
302715	4672624	1305406
304763	5052326	1366807
306574	4755725	1366007
306958	4350822	1357507
307628	4280622	1331507
308004	4649424	1332207
308044	4557723	1334107
308400	4843524	1357107
308737	4800725	1283306
308829	4327822	895205
309151	5615529	953205
311152	4281522	1370807
311227	4265221	1370007
311549	4611523	1368307
312726	4432522	942705
313144	4326722	1491508
316763	4297822	1393107
317453	5098226	1403307
317552	4987126	1462407
318057	4816324	1328506
318238	4892825	1386607
319021	4402323	1417807
319924	5124326	1417107
321825	4940925	956804
322112	4350922	1410207
324140	4616323	1470008
324338	4460223	1388507
325115	5078926	1404007
325545	4453123	1486807
325580	5195327	1386507
326946	4550424	1432707
327181	5030826	1451607
328349	5095126	1432807
328386	4936125	1456508
328636	5532528	1305207
329393	4851125	1464308
330012	4523223	1474108
332075	4420723	1483107
332226	4731524	1419607
335078	5309027	988105
335528	4551623	1487307
336458	5304327	1592308
337940	4715824	1474308
338263	5571628	1529108
340274	4529324	1447707
340772	5550128	1066906
341098	5021325	1476208
341766	5325927	1462607
342129	5035626	1521507
342154	4739125	1485407
342359	5738229	1082906
345304	5304727	1018305
346075	5263827	1543507
346292	4525723	1544908
346421	5062026	1497708
348293	4754524	1629508
348620	5072426	1521808
348972	4648323	1558908
350325	5085726	1542208
350503	4745524	1514608
351777	5659528	1035106
