i
n-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 462360  8947047  2038211
1 451477  8274343  2119811
2 623260  11311259  2416513
3 576241  11399659  2361613
4 622850  11449659  2365713
5 986793  18113194  3767220
6 752083  15399080  2247212
7 267497  4587424  812704
8 957892  17960094  3654019
9 252047  4278922  967205
10 842288  16671287  3232016
11 981187  21025010  3806520
12 387165  7296138  1510608
13 982249  17660592  3038816
14 289236  4614924  995506
15 409666  8183242  1800310
16 226903  3834320  661703
17 738317  15915983  2870015
18 153380  3052716  527003
19 863467  16566186  3560319
20 698422  11428960  2066110
21 890797  16656487  3068016
22 211490  3935121  623603
23 756397  14749277  2305012
24 527083  11009958  1529808
25 701250  14776077  2239112
26 519101  9673250  1650909
27 293431  5818430  872405
28 186016  3329117  778504
29 567360  11215059  1652108
30 539133  10760157  1589308
31 626475  11133158  2369112
32 879810  15851283  3481018
33 628181  9869252  2783414
34 272486  4293723  816204
35 133012  2044411  419102
36 399755  7450839  1816209
37 165777  2689314  475403
38 988944  17316190  2904115
39 789481  15222780  2329412
40 710153  14275975  3659319
41 543477  9655950  2353712
42 724470  13868473  2164711
43 790706  14936278  3380318
44 683034  11044257  3133217
45 247308  4181522  704603
46 468381  10338454  1370807
47 599155  10583356  2556313
48 973913  16795988  3934120
49 804123  14215875  3129216
50 252353  4095021  761504
51 132450  2007211  397002
52 481491  10041552  1435408
53 380637  6519834  1234106
54 590042  11432060  1780009
55 945907  17500992  3628019
56 946255  17049689  3616118
57 402897  7105937  1742709
58 982015  17259790  2919415
59 464624  7231838  2017810
60 148220  2540214  435002
61 612005  11099758  1831209
62 321252  6434634  935405
63 810548  16544486  3060916
64 840087  15872283  3162117
65 214899  3895920  627703
66 747007  15540081  2866115
67 412206  7276338  1222107
68 235530  4534023  1027606
69 479791  10033552  1410107
70 922058  17375791  3444918
71 553388  10287754  1618608
72 657932  11612361  1946610
73 657930  11657161  2401012
74 197344  2976316  549703
75 117476  1872510  426602
76 906230  17250490  3450818
77 652278  11673361  1931810
78 483019  10108553  1444607
79 404461  6892235  1741710
80 700962  15025178  2066111
81 742815  14505776  2181611
82 525879  9590250  2322012
83 337862  6350933  1498808
84 343746  6701535  1507508
85 295902  4448623  860005
86 970436  18631397  3435918
87 359053  6784635  1055706
88 596082  11386059  1725909
89 250344  4411623  734104
90 168465  3002116  498503
91 860616  17272190  3066716
92 698910  12018762  2120912
93 211934  4062621  613203
94 783346  16314285  3042216
95 364689  6665735  1125106
96 597814  11467460  1789809
97 676481  11706261  2073511
98 990269  17785493  3583518
99 367669  6562935  1097905
