in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 510902  10270953  2125911
1 375046  6662335  1159406
2 386337  6995636  1803709
3 445205  8458444  1339107
4 218022  2829714  1081405
5 493139  9402549  1431807
6 284040  4732125  1283006
7 747973  11640860  3042616
8 144380  2173011  442503
9 297097  4500323  1352107
10 548541  9373749  2447312
11 85866  1278707  269201
12 137447  2118311  379102
13 157800  2483513  724504
14 87464  1410607  258101
15 675111  11326459  2965715
16 592163  10600955  2705314
17 429155  6843436  1335606
18 126444  1915210  574503
19 931438  17487991  3906620
20 163236  2405212  518703
21 297577  4823525  1312707
22 419427  6048531  1838310
23 904408  16168383  2803315
24 797345  14638975  2662414
25 73558  950205  208301
26 440153  7731240  1388907
27 295876  4948326  1384507
28 846362  15860782  2519013
29 757260  10932357  3161316
30 230359  2953115  703804
31 96190  1700309  317602
32 527554  9294448  1593708
33 816977  15756881  2429113
34 112071  1505508  353202
35 922478  16581985  3512418
36 150760  2448913  486303
37 347251  5442628  1140606
38 959150  17047988  3289417
39 832583  15173378  3296017
40 681535  11242259  2036410
41 739697  11820761  3019016
42 621058  9562849  1842810
43 361513  5742130  1555308
44 401889  5707529  1765709
45 288695  4539724  1252406
46 197210  2632014  865404
47 197283  2901715  861405
48 687577  10767455  2643314
49 578596  8854946  1726709
50 128578  1587608  419302
51 509910  9283548  1513008
52 769400  11276058  3072916
53 74577  966905  206001
54 952935  15435680  3862620
55 729247  9437549  3152616
56 566361  8373844  1685808
57 299222  5012326  1287807
58 633330  10024352  2823414
59 102216  1423808  310501
60 464783  8636545  2259212
61 509934  8846445  2575614
62 813532  15288079  2569313
63 456590  8055942  2123811
64 107240  1479607  318202
65 567588  8736045  2121011
66 402718  5155427  1177806
67 354671  5753230  1041005
68 326519  5459528  957105
69 480798  8816346  1456407
70 227154  3216317  705904
71 993066  17743992  3694819
72 814925  15164678  3057816
73 497607  8640445  1572408
74 732841  11432459  2916715
75 875198  15214079  3516718
76 905972  14305774  3590818
77 138847  2136011  389702
78 499393  7590140  2177111
79 615201  9142947  2339812
80 69552  877505  266101
81 850313  14830777  3814620
82 202366  2700614  599803
83 557671  8466044  1645108
84 609459  10363654  1812309
85 64886  841604  196301
86 381257  5855131  1642108
87 969325  16851787  2884315
88 496561  8195543  2192111
89 316368  4456723  1382607
90 169816  2455113  469402
91 310534  5311528  1351607
92 690925  10582455  2630113
93 268885  4147122  1189306
94 464276  8463844  2006610
95 526601  8285543  2414312
96 179477  2456813  548403
97 843535  15661681  2570113
98 713362  10198153  3114316
99 173933  2542813  478703
100 576234  9732850  2359512
101 824222  14963378  2712414
102 609086  9297448  2679814
103 795373  14809876  2496713
104 600928  9473649  2670914
105 86665  1360107  239001
106 342899  5276827  1008806
107 328754  5355227  1392708
108 623320  10197452  2748014
109 669408  9639649  2941216
110 448414  7902340  2096211
111 288682  4272122  1250007
112 257719  4422923  729504
113 321043  5520728  1400707
114 778720  12150663  3171617
115 410816  5597129  2028810
116 175013  2660614  499202
117 180458  2950116  804504
118 557204  9978751  1860710
119 744723  11947562  5314427
120 107517  1525708  305002
121 887152  16726486  3711320
122 915862  16227783  2833815
123 203865  2722514  667404
124 283523  4667624  1442007
125 951203  17245490  2879414
126 481506  7957742  2070710
127 187807  2675314  592503
128 696074  10747956  2719314
129 79949  1246906  260602
130 137739  2292512  449402
131 921573  17496090  2746915
132 509087  8418743  1606208
133 794236  15515681  2472412
134 508964  8195143  2234111
135 761280  11131958  3061716
136 140475  2373612  432702
137 806700  15581481  2400412
138 743126  11081258  3412817
139 904111  15470180  3549919
140 431991  5432128  1259706
141 555126  8623645  1676609
142 898983  16248184  2721314
143 271428  4723224  1233107
144 953300  16074483  2783614
145 800569  14235174  2361112
146 785551  10604455  3094716
147 335695  4594824  1480907
148 200743  2660614  597803
149 863003  15931882  2918216
150 952779  16322384  3618819
151 915570  16134483  3119216
152 645724  10027852  1906210
153 529703  9249948  1586008
154 446561  8223043  1250906
155 252646  4750225  1095805
156 294400  4631224  1264607
157 361895  5248827  1595908
158 910842  16009783  2690614
159 907197  15630581  2692514
160 819769  14375874  2450413
161 457440  7723940  1961310
162 929730  15648581  5950930
163 790959  10280153  3553718
164 276768  4258122  1221606
165 444350  8266543  1954410
166 346673  4784625  1541808
167 720783  11207558  2823815
168 939141  15783581  3757020
169 578510  8379443  2616013
170 101701  1448107  382002
171 844718  14573775  3861120
172 979142  15513981  4077321
173 593089  8555844  2834915
174 609662  9160747  2750414
175 854014  14856177  3492918
176 987535  15025578  4015721
177 652047  8873445  2857415
178 631441  9381949  3057316
179 482304  8129942  2129211
180 632319  9160347  2786214
181 383985  5218427  1675309
182 67252  1111906  253401
183 307296  4916526  1349707
184 430788  6458133  2037411
185 805363  15543480  2546513
186 659019  9905351  2878515
187 568181  9001947  2165111
188 998880  16527985  3960221
189 996022  15058278  4000120
190 675849  8869345  2913815
191 629086  9049647  2724414
192 745952  10138453  3297117
193 328050  4572323  1402908
194 742203  10775255  3226417
195 913221  16497785  3703820
196 420578  5582429  1229806
197 473091  7979641  2203612
198 433989  5459028  1994910
199 775430  11272358  3402418
