#Elementos waste resizes 
1880288 245476 12
379668 328920 23
658483 50105 34
243264 465324 45
1281218 844546 57
1441284 684480 69
582201 126387 80
1626244 499520 92
838786 1286978 104
1387068 738696 116
1933479 192285 128
279166 429422 139
1913026 212738 151
1784464 341300 163
687107 21481 174
623590 84998 185
617336 91252 196
1778660 347104 208
369007 339581 219
1973113 152651 231
699895 8693 242
511273 197315 253
1299180 826584 265
901203 1224561 277
947945 1177819 289
1148669 977095 301
672186 36402 312
1007719 1118045 324
560950 147638 335
647316 61272 346
614182 94406 357
826378 1299386 369
110333 125863 379
1277730 848034 391
850246 1275518 403
1244871 880893 415
1458456 667308 427
340059 368529 438
948270 1177494 450
1547351 578413 462
351377 357211 473
1831581 294183 485
1428313 697451 497
1834332 291432 509
1062834 1062930 521
2325 591 527
1496791 628973 539
1524121 601643 551
1536861 588903 563
499928 208660 574
380171 328417 585
752824 1372940 597
1087333 1038431 609
1146062 979702 621
1907128 218636 633
89229 146967 643
1494296 631468 655
868570 1257194 667
411186 297402 678
860160 1265604 690
950378 1175386 702
561695 146893 713
1088743 1037021 725
1814690 311074 737
968336 1157428 749
545337 163251 760
1460528 665236 772
826275 1299489 784
680585 28003 795
1487566 638198 807
1580487 545277 819
488611 219977 830
1009768 1115996 842
4927 3821 849
1664230 461534 861
1323187 802577 873
995390 1130374 885
266327 442261 896
717634 1408130 908
364684 343904 919
141065 95131 929
19923 6321 937
1330148 795616 949
1058258 1067506 961
722654 1403110 973
153814 82382 983
1112472 1013292 995
1646468 479296 1007
542474 166114 1018
1266737 859027 1030
1648190 477574 1042
580332 128256 1053
1005660 1120104 1065
1807038 318726 1077
553625 154963 1088
494692 213896 1099
151017 85179 1109
10942 15302 1117
290241 418347 1128
1070216 1055548 1140
