#Elementos waste resizes 
1200083 897069 19
27915 4853 32
772701 275875 50
1723724 373428 69
324556 199732 86
287800 236488 103
1571574 525578 122
429067 95221 139
1738666 358486 158
1915533 181619 177
1260985 836167 196
426021 98267 213
1458569 638583 232
1325617 771535 251
207383 54761 267
562014 486562 285
237622 24522 301
953239 95337 319
613208 435368 337
478581 45707 354
826594 221982 372
1047507 1069 390
358577 165711 407
429103 95185 424
545899 502677 442
304555 219733 459
1915973 181179 478
739375 309201 496
353711 170577 513
1431146 666006 532
35178 30358 546
370237 154051 563
1836181 260971 582
802449 246127 600
1067925 1029227 619
643124 405452 637
566675 481901 655
899787 148789 673
462720 61568 690
1860260 236892 709
1665956 431196 728
916287 132289 746
1680652 416500 765
294954 229334 782
1616852 480300 801
483907 40381 818
1287513 809639 837
1319237 777915 856
961020 87556 874
1565117 532035 893
799661 248915 911
335623 188665 928
1397242 699910 947
3216 880 957
145982 116162 973
1992381 104771 992
1930923 166229 1011
849944 198632 1029
514954 9334 1046
743929 304647 1064
1632402 464750 1083
1534918 562234 1102
1410306 686846 1121
1072490 1024662 1140
476399 47889 1157
1746708 350444 1176
1760586 336566 1195
118765 12307 1210
1927655 169497 1229
1239430 857722 1248
1979164 117988 1267
1901655 195497 1286
590790 457786 1304
1051933 1045219 1323
1825220 271932 1342
1056975 1040177 1361
1661487 435665 1380
1849676 247476 1399
1635058 462094 1418
1606595 490557 1437
1627778 469374 1456
1193943 903209 1475
120583 10489 1490
630150 418426 1508
1608432 488720 1527
1303123 794029 1546
961656 86920 1564
1316190 780962 1583
1006799 41777 1601
840965 207611 1619
1415760 681392 1638
1296699 800453 1657
1052456 1044696 1676
1033345 15231 1694
1537059 560093 1713
1241755 855397 1732
9526 6858 1744
573245 475331 1762
1183025 914127 1781
618986 429590 1799
