#Elementos waste resizes 
19368 0 19364
29975 0 49335
9612 0 58943
8757 0 67696
8353 0 76045
27186 0 103227
15258 0 118481
16311 0 134788
29200 0 163984
27687 0 191667
17745 0 209408
5182 0 214586
24356 0 238938
5031 0 243965
5505 0 249466
11300 0 260762
9200 0 269958
8859 0 278813
3440 0 282249
12915 0 295160
23012 0 318168
2590 0 320754
19847 0 340597
14273 0 354866
23847 0 378709
1940 0 380645
16542 0 397183
18109 0 415288
7736 0 423020
28244 0 451260
23308 0 474564
11993 0 486553
6035 0 492584
4693 0 497273
24250 0 521519
13258 0 534773
28011 0 562780
16139 0 578915
18260 0 597171
25534 0 622701
10478 0 633175
21179 0 654350
28771 0 683117
17222 0 700335
4393 0 704724
1262 0 705982
19828 0 725806
23529 0 749331
1392 0 750719
15783 0 766498
